Time,SatTemp:,SatHumidity:,SatPressure:,SatAccel:,SatGpsNr:,SatLat:,SatLon:,SatGPSAlt:,PacketRssi:,BaseTemp:,BaseHumidity:,BasePressure:,TrackAltAngle:,TrackAziAngle,BaseGpsNr:,BaseLat:,BaseLon:,BaseGPSAlt:
37981,25.6,37.6,973.281,10.111,12.0,48.3991,13.45267,341.0,-117.0,22.7,37.5,974.39,-135.0,0.0,9.0,48.40145,13.44934,322.2
37981,25.6,37.7,973.298,10.192,12.0,48.3991,13.45267,341.0,-116.0,22.7,37.6,974.369,-135.0,0.0,9.0,48.40145,13.44934,322.3
37982,25.6,37.6,973.291,10.087,12.0,48.3991,13.45267,341.0,-114.0,22.8,37.8,974.385,-135.0,0.0,9.0,48.40145,13.44934,322.3
37982,25.6,37.6,973.269,10.192,12.0,48.3991,13.45267,341.0,-115.0,22.8,37.9,974.384,-135.0,0.0,9.0,48.40145,13.44934,322.3
37982,25.6,37.7,973.272,10.201,12.0,48.3991,13.45267,340.9,-116.0,22.8,37.9,974.388,-135.0,0.0,8.0,48.40145,13.44934,321.9
37983,25.6,37.7,973.252,10.114,12.0,48.3991,13.45267,340.9,-118.0,22.8,37.8,974.395,-135.0,0.0,8.0,48.40145,13.44934,321.9
37983,25.6,37.7,973.279,10.105,12.0,48.3991,13.45267,340.9,-114.0,22.7,37.6,974.353,-135.0,0.0,8.0,48.40145,13.44934,321.9
37983,25.6,37.7,973.277,10.151,12.0,48.3991,13.45267,340.9,-115.0,22.7,37.4,974.381,-135.0,0.0,7.0,48.40145,13.44934,321.8
37984,25.6,37.7,973.267,10.141,12.0,48.3991,13.45267,340.9,-117.0,22.7,37.5,974.376,-135.0,0.0,7.0,48.40145,13.44934,321.8
37984,25.6,37.7,973.263,10.164,12.0,48.3991,13.45267,340.9,-113.0,22.7,37.5,974.365,-135.0,0.0,7.0,48.40145,13.44934,321.8
37984,25.6,37.7,973.257,10.151,12.0,48.3991,13.45267,340.9,-112.0,22.7,37.5,974.335,-135.0,0.0,9.0,48.40145,13.44934,321.5
37985,25.6,37.7,973.284,10.151,12.0,48.3991,13.45267,340.9,-108.0,22.7,37.4,974.4,-135.0,0.0,9.0,48.40145,13.44934,321.5
37985,25.6,37.7,973.313,10.178,12.0,48.3991,13.45267,340.9,-108.0,22.8,37.4,974.376,-135.0,0.0,9.0,48.40145,13.44934,321.5
37985,25.6,37.7,973.277,10.124,12.0,48.3991,13.45267,340.9,-109.0,22.7,37.4,974.371,-135.0,0.0,7.0,48.40145,13.44933,321.3
37986,25.6,37.7,973.283,10.1,12.0,48.3991,13.45267,340.9,-112.0,22.7,37.5,974.334,-135.0,0.0,7.0,48.40145,13.44933,321.3
37986,25.7,37.7,973.318,10.114,12.0,48.3991,13.45267,340.9,-111.0,22.8,37.5,974.38,-135.0,0.0,7.0,48.40145,13.44933,321.3
